K,eps_CL,eps_E,tol,time,acc
54,0.952750047242729,0.012826498305280605,3.47168681892656e-8,6.083988317,0.6857142857142857
34,9.52750047242729,0.012826498305280605,3.47168681892656e-8,4.490071,0.7714285714285715
34,9.518058805292453,0.012826498305280605,3.47168681892656e-8,5.747349571,0.7714285714285715
34,9.508617138157614,0.012826498305280605,3.47168681892656e-8,8.110856481,0.8285714285714286
34,9.499175471022776,0.012826498305280605,3.47168681892656e-8,5.273180235,0.8
34,9.489733803887939,0.012826498305280605,3.47168681892656e-8,8.945986774,0.8285714285714286
34,9.480292136753102,0.012826498305280605,3.47168681892656e-8,5.989003234,0.6571428571428571
34,9.470850469618263,0.012826498305280605,3.47168681892656e-8,5.567748795,0.7428571428571429
34,9.461408802483426,0.012826498305280605,3.47168681892656e-8,4.635178409,0.7714285714285715
34,9.451967135348587,0.012826498305280605,3.47168681892656e-8,5.866307465,0.7428571428571429
34,9.44252546821375,0.012826498305280605,3.47168681892656e-8,5.884441455,0.7428571428571429
34,9.433083801078912,0.012826498305280605,3.47168681892656e-8,5.819045801,0.6285714285714286
34,9.423642133944075,0.012826498305280605,3.47168681892656e-8,9.117131786,0.8
34,9.414200466809238,0.012826498305280605,3.47168681892656e-8,4.18810467,0.6
34,9.404758799674399,0.012826498305280605,3.47168681892656e-8,6.599693728,0.8285714285714286
34,9.39531713253956,0.012826498305280605,3.47168681892656e-8,5.411751057,0.5714285714285714
34,9.385875465404721,0.012826498305280605,3.47168681892656e-8,5.46541622,0.8285714285714286
34,9.376433798269884,0.012826498305280605,3.47168681892656e-8,5.697987246,0.7142857142857143
34,9.366992131135046,0.012826498305280605,3.47168681892656e-8,6.886381174,0.8571428571428571
34,9.357550464000207,0.012826498305280605,3.47168681892656e-8,8.374165627,0.6571428571428571
34,9.34810879686537,0.012826498305280605,3.47168681892656e-8,7.285698735,0.6571428571428571
34,9.338667129730533,0.012826498305280605,3.47168681892656e-8,7.140784779,0.6857142857142857
34,9.329225462595694,0.012826498305280605,3.47168681892656e-8,6.292795855,0.6857142857142857
34,9.319783795460857,0.012826498305280605,3.47168681892656e-8,8.251834287,0.7714285714285715
34,9.310342128326019,0.012826498305280605,3.47168681892656e-8,7.013036787,0.7714285714285715
34,9.300900461191182,0.012826498305280605,3.47168681892656e-8,5.790144489,0.7714285714285715
34,9.291458794056343,0.012826498305280605,3.47168681892656e-8,5.949396724,0.5714285714285714
34,9.282017126921506,0.012826498305280605,3.47168681892656e-8,6.941646357,0.8
34,9.272575459786669,0.012826498305280605,3.47168681892656e-8,5.651594216,0.8
34,9.26313379265183,0.012826498305280605,3.47168681892656e-8,5.785148189,0.7714285714285715
34,9.253692125516991,0.012826498305280605,3.47168681892656e-8,4.561030302,0.7142857142857143
34,9.244250458382155,0.012826498305280605,3.47168681892656e-8,5.601291171,0.7714285714285715
34,9.234808791247318,0.012826498305280605,3.47168681892656e-8,6.678126896,0.7428571428571429
34,9.225367124112479,0.012826498305280605,3.47168681892656e-8,7.217953008,0.8
34,9.21592545697764,0.012826498305280605,3.47168681892656e-8,7.128390094,0.8
34,9.206483789842803,0.012826498305280605,3.47168681892656e-8,5.506229558,0.7428571428571429
34,9.197042122707966,0.012826498305280605,3.47168681892656e-8,5.929468024,0.8
34,9.187600455573127,0.012826498305280605,3.47168681892656e-8,7.306063205,0.7142857142857143
34,9.17815878843829,0.012826498305280605,3.47168681892656e-8,5.809937325,0.6857142857142857
34,9.168717121303452,0.012826498305280605,3.47168681892656e-8,8.28548374,0.7428571428571429
34,9.159275454168615,0.012826498305280605,3.47168681892656e-8,6.662688285,0.6
34,9.149833787033776,0.012826498305280605,3.47168681892656e-8,7.028774536,0.7428571428571429
34,9.140392119898939,0.012826498305280605,3.47168681892656e-8,8.173706482,0.7142857142857143
34,9.1309504527641,0.012826498305280605,3.47168681892656e-8,5.967775741,0.7714285714285715
34,9.121508785629262,0.012826498305280605,3.47168681892656e-8,4.661808497,0.6
34,9.112067118494423,0.012826498305280605,3.47168681892656e-8,7.062524505,0.6857142857142857
34,9.102625451359586,0.012826498305280605,3.47168681892656e-8,5.828979707,0.8285714285714286
34,9.093183784224749,0.012826498305280605,3.47168681892656e-8,5.816589739,0.8285714285714286
34,9.08374211708991,0.012826498305280605,3.47168681892656e-8,9.423142086,0.6285714285714286
34,9.074300449955071,0.012826498305280605,3.47168681892656e-8,5.83433719,0.7714285714285715
34,9.064858782820234,0.012826498305280605,3.47168681892656e-8,6.827596622,0.5428571428571428
34,9.055417115685398,0.012826498305280605,3.47168681892656e-8,7.340176779,0.5428571428571428
34,9.045975448550559,0.012826498305280605,3.47168681892656e-8,6.884933472,0.6857142857142857
34,9.03653378141572,0.012826498305280605,3.47168681892656e-8,4.4077591,0.6857142857142857
34,9.027092114280883,0.012826498305280605,3.47168681892656e-8,5.867418082,0.7714285714285715
34,9.017650447146046,0.012826498305280605,3.47168681892656e-8,8.331115606,0.6857142857142857
34,9.008208780011207,0.012826498305280605,3.47168681892656e-8,8.145007274,0.7714285714285715
